DrinkName,Link,IdDrink
Amaretto Stone Sour,https://www.thecocktaildb.com/images/media/drink/xwryyx1472719921.jpg,14306
Amaretto Stone Sour #3,https://www.thecocktaildb.com/images/media/drink/wutxqr1472720012.jpg,16100
Amaretto Sunrise,https://www.thecocktaildb.com/images/media/drink/akcpsh1493070267.jpg,14578
Amaretto Sunset,https://www.thecocktaildb.com/images/media/drink/apictz1493069760.jpg,17168
Amaretto Sweet & Sour,https://www.thecocktaildb.com/images/media/drink/vswwus1472668546.jpg,16202
Amaretto Tea,https://www.thecocktaildb.com/images/media/drink/b7qzo21493070167.jpg,11029
Americano,https://www.thecocktaildb.com/images/media/drink/trwruu1478253126.jpg,15941
Angel Face,https://www.thecocktaildb.com/images/media/drink/vqpptp1478253178.jpg,11034
Angelica Liqueur,https://www.thecocktaildb.com/images/media/drink/yuurps1472667672.jpg,12794
Apple Grande,https://www.thecocktaildb.com/images/media/drink/wqrptx1472668622.jpg,16289
Apple Pie with A Crust,https://www.thecocktaildb.com/images/media/drink/qspqxt1472720078.jpg,16958
Apple Slammer,https://www.thecocktaildb.com/images/media/drink/09yd5f1493069852.jpg,13683
Applecar,https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,11046
Applejack,https://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg,16311
Apricot Lady,https://www.thecocktaildb.com/images/media/drink/146f251504389814.jpg,11050
Apricot punch,https://www.thecocktaildb.com/images/media/drink/tuxxtp1472668667.jpg,15849
Aquamarine,https://www.thecocktaildb.com/images/media/drink/zvsre31572902738.jpg,178319
Archbishop,https://www.thecocktaildb.com/images/media/drink/xpqwrt1441207307.jpg,11052
Arctic Fish,https://www.thecocktaildb.com/images/media/drink/ttsvwy1472668781.jpg,14622
Arctic Mouthwash,https://www.thecocktaildb.com/images/media/drink/wqstwv1478963735.jpg,17118
Arise My Love,https://www.thecocktaildb.com/images/media/drink/wyrrwv1441207432.jpg,11053
Arizona Antifreeze,https://www.thecocktaildb.com/images/media/drink/dbtylp1493067262.jpg,16354
Arizona Stingers,https://www.thecocktaildb.com/images/media/drink/y7w0721493068255.jpg,14584
